MERO,47.93,"1,489.90","1,490.00","1,467.00","1,468.50","1,475.66","11,905.00","1,463.10","17,567,791.30",148,5.4,23.0,0.37,1.57,-0.49,"1,588.44","1,511.71","1,989.00",760.00,11_05_2021
MERO,47.93,"1,489.90","1,490.00","1,467.00","1,468.50","1,475.66","11,905.00","1,463.10","17,567,791.30",148,5.4,23.0,0.37,1.57,-0.49,"1,588.44","1,511.71","1,989.00",760.00,11_06_2021
MERO,47.93,"1,489.90","1,490.00","1,467.00","1,468.50","1,475.66","11,905.00","1,463.10","17,567,791.30",148,5.4,23.0,0.37,1.57,-0.49,"1,588.44","1,511.71","1,989.00",760.00,11_07_2021
MERO,48.71,"1,470.00","1,484.90","1,451.00","1,466.00","1,469.68","6,648.00","1,468.50","9,770,444.70",94,-2.5,33.9,-0.17,2.34,-0.25,"1,584.86","1,513.96","1,989.00",760.00,11_08_2021
MERO,44.62,"1,495.30","1,520.00","1,430.00","1,454.00","1,460.41","29,483.00","1,466.00","43,057,351.80",389,-12.0,90.0,-0.82,6.29,-0.44,"1,581.66","1,515.56","1,989.00",760.00,11_09_2021
MERO,51.44,"1,495.30","1,520.00","1,430.00","1,454.00","1,460.41","29,483.00","1,466.00","43,057,351.80",389,-12.0,90.0,-0.82,6.29,-0.44,"1,581.66","1,515.56","1,989.00",760.00,11_10_2021
MERO,49.39,"1,430.00","1,445.00","1,410.20","1,416.00","1,426.46","11,764.00","1,454.00","16,780,863.40",154,-38.0,34.8,-2.61,2.47,-0.74,"1,578.55","1,516.94","1,989.00",760.00,11_11_2021
MERO,41.22,"1,430.00","1,445.00","1,410.20","1,416.00","1,426.46","11,764.00","1,454.00","16,780,863.40",154,-38.0,34.8,-2.61,2.47,-0.74,"1,578.55","1,516.94","1,989.00",760.00,11_12_2021
MERO,41.22,"1,430.00","1,445.00","1,410.20","1,416.00","1,426.46","11,764.00","1,454.00","16,780,863.40",154,-38.0,34.8,-2.61,2.47,-0.74,"1,578.55","1,516.94","1,989.00",760.00,11_13_2021
MERO,39.17,"1,416.00","1,430.00","1,402.20","1,405.00","1,409.65","8,436.00","1,416.00","11,891,788.70",157,-11.00,27.80,-0.78,1.98,-0.33,"1,575.31","1,518.41","1,989.00",760.00,11_14_2021
MERO,39.32,"1,433.00","1,433.00","1,405.00","1,416.00","1,413.67","4,001.00","1,405.00","5,656,113.10",77,11.00,28.00,0.78,1.99,0.16,"1,572.20","1,520.11","1,989.00",760.00,11_15_2021
MERO,38.23,"1,426.00","1,438.00","1,412.00","1,431.00","1,427.89","3,894.00","1,416.00","5,560,196.40",77,15.00,26.00,1.06,1.84,0.22,"1,568.93","1,522.13","1,989.00",760.00,11_16_2021
MERO,37.54,"1,458.00","1,458.00","1,440.00","1,440.00","1,445.79","8,742.00","1,431.00","12,639,057.30",108,9.00,18.00,0.63,1.25,-0.4,"1,565.31","1,524.28","1,989.00",760.00,11_17_2021
MERO,53.42,"1,462.00","1,468.80","1,439.00","1,444.00","1,446.29","15,904.00","1,440.00","23,001,802.20",221,4.0,29.8,0.28,2.07,-0.16,"1,561.95","1,525.86","1,989.00",760.00,11_18_2021
MERO,57.98,"1,462.00","1,468.80","1,439.00","1,444.00","1,446.29","15,904.00","1,440.00","23,001,802.20",221,4.0,29.8,0.28,2.07,-0.16,"1,561.95","1,525.86","1,989.00",760.00,11_19_2021
MERO,57.98,"1,462.00","1,468.80","1,439.00","1,444.00","1,446.29","15,904.00","1,440.00","23,001,802.20",221,4.0,29.8,0.28,2.07,-0.16,"1,561.95","1,525.86","1,989.00",760.00,11_20_2021
MERO,53.28,"1,472.00","1,472.00","1,446.00","1,449.00","1,454.55","7,910.00","1,444.00","11,505,523.40",144,5.0,26.0,0.35,1.8,-0.38,"1,558.66","1,527.49","1,989.00",770.00,11_21_2021
MERO,54.32,"1,450.00","1,463.00","1,450.00","1,452.00","1,455.74","9,938.00","1,449.00","14,467,152.40",152,3.0,13.0,0.21,0.9,-0.26,"1,555.57","1,529.26","1,989.00",770.00,11_22_2021
MERO,56.12,"1,452.00","1,455.00","1,405.00","1,405.00","1,419.34","16,729.00","1,452.00","23,744,120.50",212,-47.0,50.0,-3.24,3.56,-1.02,"1,552.18","1,530.73","1,989.00",770.00,11_23_2021
MERO,52.52,"1,433.10","1,449.00","1,385.00","1,440.00","1,420.14","30,382.00","1,405.00","43,146,822.40",488,35.00,64.0,2.49,4.62,1.38,"1,549.19","1,532.33","1,989.00",770.00,11_24_2021
MERO,57.33,"1,224.00","1,224.00","1,200.00","1,215.00","1,215.38","17,686.00","1,200.00","21,495,212.20",348,15.0,24.0,1.25,2.0,-0.03,"1,544.48","1,532.60","1,989.00",785.00,11_25_2021
MERO,43.58,"1,224.00","1,224.00","1,200.00","1,215.00","1,215.38","17,686.00","1,200.00","21,495,212.20",348,15.0,24.0,1.25,2.0,-0.03,"1,544.48","1,532.60","1,989.00",785.00,11_26_2021
MERO,43.58,"1,224.00","1,224.00","1,200.00","1,215.00","1,215.38","17,686.00","1,200.00","21,495,212.20",348,15.0,24.0,1.25,2.0,-0.03,"1,544.48","1,532.60","1,989.00",785.00,11_27_2021
MERO,40.68,"1,215.00","1,215.00","1,139.80","1,165.00","1,163.81","18,417.00","1,215.00","21,433,890.00",228,-50.0,75.2,-4.12,6.6,0.1,"1,539.36","1,532.49","1,989.00",799.00,11_28_2021
MERO,41.2,"1,159.00","1,180.00","1,141.00","1,141.00","1,160.12","6,621.00","1,165.00","7,681,178.00",129,-24.0,39.0,-2.06,3.42,-1.68,"1,534.80","1,532.23","1,989.00",799.00,11_29_2021
MERO,37.82,"1,155.00","1,155.00","1,116.00","1,125.00","1,127.32","4,967.00","1,141.00","5,599,386.30",95,-16.0,39.0,-1.4,3.49,-0.21,"1,530.56","1,531.78","1,989.00",810.00,11_30_2021
MERO,36.18,"1,147.50","1,237.50","1,097.60","1,110.00","1,135.57","15,227.00","1,125.00","17,291,366.90",192,-15.0,139.9,-1.33,12.75,-2.3,"1,526.05","1,531.34","1,989.00",810.00,12_01_2021
MERO,47.38,"1,120.00","1,201.30","1,095.00","1,095.20","1,111.81","8,590.00","1,110.00","9,550,469.40",132,-14.8,106.3,-1.33,9.71,-1.52,"1,521.55","1,530.59","1,989.00",810.00,12_02_2021
MERO,45.05,"1,120.00","1,201.30","1,095.00","1,095.20","1,111.81","8,590.00","1,110.00","9,550,469.40",132,-14.8,106.3,-1.33,9.71,-1.52,"1,521.55","1,530.59","1,989.00",810.00,12_03_2021
MERO,45.05,"1,120.00","1,201.30","1,095.00","1,095.20","1,111.81","8,590.00","1,110.00","9,550,469.40",132,-14.8,106.3,-1.33,9.71,-1.52,"1,521.55","1,530.59","1,989.00",810.00,12_04_2021
MERO,44.15,"1,082.00","1,090.00","1,050.00","1,052.00","1,059.75","6,591.00","1,095.20","6,984,825.20",131,-43.2,40.0,-3.94,3.81,-0.74,"1,515.56","1,529.58","1,989.00",810.00,12_05_2021
MERO,40.74,"1,045.00","1,157.20","1,000.00","1,157.20","1,049.09","14,823.00","1,052.00","15,550,664.00",190,105.2,157.20,10.0,15.72,9.34,"1,510.69","1,528.97","1,989.00",810.00,12_06_2021
MERO,53.3,"1,180.30","1,180.30","1,068.20","1,097.00","1,098.00","27,234.00","1,157.20","29,902,818.30",305,-60.2,112.10,-5.2,10.49,-0.09,"1,505.59","1,527.44","1,989.00",810.00,12_07_2021
MERO,53.51,765.00,780.30,763.00,770.00,775.19,"1,809.00",777.90,"1,402,322.00",29,-7.9,17.3,-1.02,2.27,-0.67,824.81,865.60,"1,340.20",730.00,12_07_2022
MERO,51.58,"1,100.00","1,100.00","1,018.30","1,045.00","1,033.62","18,785.00","1,097.00","19,416,506.00",163,-52.0,81.70,-4.74,8.02,1.09,"1,499.39","1,525.88","1,989.00",840.00,12_08_2021
MERO,46.7,"1,027.00","1,044.00","1,015.00","1,030.00","1,029.92","5,933.00","1,045.00","6,110,505.30",136,-15.0,29.0,-1.44,2.86,0.01,"1,493.49","1,524.46","1,989.00",840.00,12_09_2021
MERO,42.97,"1,027.00","1,044.00","1,015.00","1,030.00","1,029.92","5,933.00","1,045.00","6,110,505.30",136,-15.0,29.0,-1.44,2.86,0.01,"1,493.49","1,524.46","1,989.00",840.00,12_10_2021
MERO,42.97,"1,027.00","1,044.00","1,015.00","1,030.00","1,029.92","5,933.00","1,045.00","6,110,505.30",136,-15.0,29.0,-1.44,2.86,0.01,"1,493.49","1,524.46","1,989.00",840.00,12_11_2021
MERO,42.32,"1,049.00","1,049.00",952.00,970.00,986.36,"17,739.00","1,030.00","17,497,114.80",258,-60.00,97.00,-5.83,10.19,-1.69,"1,487.48","1,522.72","1,989.00",866.00,12_12_2021
MERO,37.17,950.60,974.90,878.10,900.00,907.66,"18,340.00",970.00,"16,646,479.80",286,-70.00,96.80,-7.22,11.02,-0.85,"1,480.83","1,520.84","1,989.00",866.00,12_13_2021
MERO,39.13,912.00,988.00,912.00,988.00,959.22,"6,753.00",900.00,"6,477,637.20",143,88.00,76.00,9.78,8.33,2.91,"1,475.11","1,519.39","1,989.00",874.00,12_14_2021
MERO,41.81,"1,007.00","1,049.00",955.50,970.00,"1,000.93","18,656.00",988.00,"18,673,271.00",309,-18.0,93.5,-1.82,9.79,-3.19,"1,469.32","1,517.76","1,989.00",874.00,12_15_2021
MERO,43.72,970.00,984.00,950.00,955.00,958.83,"6,009.00",970.00,"5,761,638.80",109,-15.0,34.0,-1.55,3.58,-0.4,"1,463.63","1,515.94","1,989.00",874.00,12_16_2021
MERO,41.54,970.00,984.00,950.00,955.00,958.83,"6,009.00",970.00,"5,761,638.80",109,-15.0,34.0,-1.55,3.58,-0.4,"1,463.63","1,515.94","1,989.00",874.00,12_17_2021
MERO,41.54,970.00,984.00,950.00,955.00,958.83,"6,009.00",970.00,"5,761,638.80",109,-15.0,34.0,-1.55,3.58,-0.4,"1,463.63","1,515.94","1,989.00",874.00,12_18_2021
MERO,41.54,970.00,984.00,950.00,955.00,958.83,"6,009.00",970.00,"5,761,638.80",109,-15.0,34.0,-1.55,3.58,-0.4,"1,463.63","1,515.94","1,989.00",874.00,12_19_2021
MERO,38.85,950.00,969.00,946.00,948.00,954.90,"2,897.00",955.00,"2,766,349.00",70,-7.0,23.0,-0.73,2.43,-0.73,"1,457.62","1,513.91","1,989.00",874.00,12_20_2021
MERO,40.59,966.90,968.90,950.00,967.00,957.75,"8,851.00",948.00,"8,477,025.10",111,19.0,18.90,2.0,1.99,0.96,"1,451.97","1,511.53","1,989.00",874.00,12_21_2021
MERO,44.41,986.00,"1,025.00",976.00,"1,016.00","1,008.77","9,368.00",967.00,"9,450,155.40",183,49.0,49.0,5.07,5.02,0.71,"1,447.18","1,509.59","1,989.00",878.10,12_22_2021
MERO,48.49,"1,035.00","1,035.00","1,000.00","1,005.00","1,016.04","9,072.00","1,016.00","9,217,483.50",159,-11.0,35.0,-1.08,3.5,-1.1,"1,442.74","1,507.15","1,989.00",878.10,12_23_2021
MERO,51.06,"1,035.00","1,035.00","1,000.00","1,005.00","1,016.04","9,072.00","1,016.00","9,217,483.50",159,-11.0,35.0,-1.08,3.5,-1.1,"1,442.74","1,507.15","1,989.00",878.10,12_24_2021
MERO,51.06,"1,035.00","1,035.00","1,000.00","1,005.00","1,016.04","9,072.00","1,016.00","9,217,483.50",159,-11.0,35.0,-1.08,3.5,-1.1,"1,442.74","1,507.15","1,989.00",878.10,12_25_2021
MERO,49.44,"1,025.00","1,071.00","1,023.10","1,070.00","1,040.73","15,408.00","1,005.00","16,035,589.70",225,65.00,47.90,6.47,4.68,2.74,"1,438.71","1,504.79","1,989.00",878.10,12_26_2021
MERO,53.62,"1,091.00","1,100.00","1,029.00","1,030.00","1,062.61","15,714.00","1,070.00","16,697,889.00",243,-40.0,71.00,-3.74,6.9,-3.17,"1,434.53","1,502.48","1,989.00",878.10,12_27_2021
MERO,54.78,"1,014.00","1,035.00","1,010.00","1,013.50","1,020.95","8,288.00","1,030.00","8,461,603.00",130,-16.5,25.0,-1.6,2.48,-0.73,"1,430.52","1,500.09","1,989.00",878.10,12_28_2021
MERO,46.16,"1,033.00","1,054.00","1,030.00","1,035.00","1,035.56","4,757.00","1,013.50","4,926,158.50",90,21.5,24.00,2.12,2.33,-0.05,"1,426.50","1,497.68","1,989.00",878.10,12_29_2021
MERO,50.22,"1,033.00","1,054.00","1,030.00","1,035.00","1,035.56","4,757.00","1,013.50","4,926,158.50",90,21.5,24.00,2.12,2.33,-0.05,"1,426.50","1,497.68","1,989.00",878.10,12_30_2021
MERO,50.22,"1,033.00","1,054.00","1,030.00","1,035.00","1,035.56","4,757.00","1,013.50","4,926,158.50",90,21.5,24.00,2.12,2.33,-0.05,"1,426.50","1,497.68","1,989.00",878.10,12_31_2021
